RuleId,Base,Keys,Reference,Support,LowCut,HighCut,LowTarget,MaleHigh,OOFAccuracy,FoldMean,FoldStd,PositivePredictions
R0487,female_child12,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female,master,0.835016835016835,0.8316527524951353,0.02349139253759971,158
R0505,female_child12,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female,master,0.835016835016835,0.8316527524951353,0.02349139253759971,159
R0511,female_child12,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female,master,0.835016835016835,0.8316527524951353,0.02349139253759971,158
R0535,female_child12,UnionGroup,female_master,1,0.25,1.0,female,master,0.835016835016835,0.830753876090641,0.0239077879298847,158
R0559,female_child12,UnionGroup,female_child16,1,0.25,1.0,female,master,0.835016835016835,0.830753876090641,0.0239077879298847,158
R0145,gender,UnionGroup,female_master,1,0.0,1.0,female,master,0.835016835016835,0.8305216245056806,0.02280354156311386,151
R0148,gender,UnionGroup,female_master,1,0.0,1.0,female_master,master,0.835016835016835,0.8305216245056806,0.02280354156311386,151
R0169,gender,UnionGroup,female_child16,1,0.0,1.0,female,master,0.835016835016835,0.8305216245056806,0.02280354156311386,151
R0172,gender,UnionGroup,female_child16,1,0.0,1.0,female_master,master,0.835016835016835,0.8305216245056806,0.02280354156311386,151
R0288,female_master,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female,none,0.8338945005611672,0.8314292888079844,0.02430307172021938,165
R0289,female_master,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female,master,0.8338945005611672,0.8314292888079844,0.02430307172021938,165
R0294,female_master,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female,none,0.8338945005611672,0.8314292888079844,0.02430307172021938,164
R0295,female_master,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female,master,0.8338945005611672,0.8314292888079844,0.02430307172021938,164
R0312,female_master,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female,none,0.8338945005611672,0.8314292888079844,0.02430307172021938,165
R0313,female_master,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female,master,0.8338945005611672,0.8314292888079844,0.02430307172021938,165
R0318,female_master,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female,none,0.8338945005611672,0.8314292888079844,0.02430307172021938,164
R0319,female_master,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female,master,0.8338945005611672,0.8314292888079844,0.02430307172021938,164
R0342,female_master,UnionGroup,female_master,1,0.25,1.0,female,none,0.8338945005611672,0.83053041240349,0.024697659057319372,164
R0343,female_master,UnionGroup,female_master,1,0.25,1.0,female,master,0.8338945005611672,0.83053041240349,0.024697659057319372,164
R0366,female_master,UnionGroup,female_child16,1,0.25,1.0,female,none,0.8338945005611672,0.83053041240349,0.024697659057319372,164
